Year,DonorName,Principal,Significant,Principal.share,Significant.share,min.maj.share
2014,Arab Fund (AFESD),0.156115,0,1,0,1
2014,Asian Development Bank,0,8.51492244,0,1,1
2014,Australia,9.98355497979,44.829229046,0.182139169853015,0.817860830146985,1
2014,Austria,0.59188825,0.04290006,0.932418320683946,0.0675816793160542,1
2014,Belgium,6.38500451,7.2668915,0.467700933652219,0.532299066347781,1
2014,Canada,5.73462713,82.109681989,0.065281714746387,0.934718285253613,1
2014,Charity Projects Ltd (Comic Relief),0.261286,1.190572,0.179966635855573,0.820033364144427,1
2014,Climate Investment Funds,0,1.02211,0,1,1
2014,Czech Republic,0.21986458,0.1537917,0.588413983032749,0.411586016967251,1
2014,Denmark,0,2.54307853,0,1,1
2014,EU Institutions,21.32985585,33.754518473,0.387221532642405,0.612778467357595,1
2014,Estonia,0.0011994,0.00239881,0.333332406946787,0.666667593053213,1
2014,Finland,7.24814615,35.056620561,0.171331665755655,0.828668334244345,1
2014,France,0.525767,2.21352242,0.191935542174291,0.808064457825709,1
2014,Germany,7.9069994,7.987303631,0.497473804581322,0.502526195418679,1
2014,Global Fund,0,130.1125758,0,1,1
2014,Greece,0,0.080428257,0,1,1
2014,Iceland,0,0.141734,0,1,1
2014,Inter-American Development Bank,0.55139,8.049784,0.0641063650148224,0.935893634985178,1
2014,International Development Association,0,0,,,
2014,International Labour Organisation,0.0152262,0.03437524,0.306970926650517,0.693029073349484,1
2014,Ireland,0.2027941,0.932718576,0.178592546156658,0.821407453843342,1
2014,Islamic Development Bank,0,0,,,
2014,Italy,1.971284032,4.154150746,0.321819446854618,0.678180553145382,1
2014,Japan,0.4799991,2.0949385,0.186411934797954,0.813588065202046,1
2014,Korea,0.1784955,0.4483456,0.284753983106724,0.715246016893276,1
2014,Lithuania,0.00238656,0.01776924,0.118405620218498,0.881594379781502,1
2014,Luxembourg,0.3491822,0.2922958,0.544340102076767,0.455659897923234,1
2014,Netherlands,0.041298,0,1,0,1
2014,New Zealand,0.835598,1.7916943,0.318045312278348,0.681954687721652,1
2014,Norway,5.4145288,15.37045178,0.260501989845978,0.739498010154023,1
2014,OPEC Fund for International Development,0.364918,4.23345801,0.0793580166577113,0.920641983342289,1
2014,Poland,0.16697734,0.0122116,0.931850704624962,0.0681492953750382,1
2014,Slovak Republic,0.00113756,0.07830338,0.0143195687261505,0.985680431273849,1
2014,Slovenia,0.0279745,0.0279745,0.5,0.5,1
2014,Spain,0.663946217,2.140427424,0.236753835970034,0.763246164029966,1
2014,Sweden,1.3969978,14.17606314,0.0897060510700089,0.910293948929991,1
2014,Switzerland,3.074273,18.93286486,0.139694358237641,0.860305641762359,1
2014,UNDP,0.00918978,0.912198559,0.00997384013994994,0.99002615986005,1
2014,UNICEF,0,1.048930555,0,1,1
2014,United Kingdom,0.903404791,36.83865676,0.0239362863043199,0.97606371369568,1
2014,United States,8.59832656,100.9584045133,0.0784828688823073,0.921517131117693,1
2014,World Health Organisation,1.861880482,0,1,0,1
2015,Arab Fund (AFESD),0.0460225,0,1,0,1
2015,Australia,13.364824028,42.19887293,0.240531583744371,0.75946841625563,1
2015,Austria,1.35232193,0.076730739,0.946306570314379,0.0536934296856206,1
2015,Belgium,9.38295718,6.647112,0.585334790177119,0.414665209822881,1
2015,Bill & Melinda Gates Foundation,0,0.625326,0,1,1
2015,Canada,2.42996158,99.8844263433,0.0237499498293595,0.976250050170641,1
2015,Charity Projects Ltd (Comic Relief),1.0224183,0.6040502,0.628612420099129,0.371387579900871,1
2015,Czech Republic,0.3989893,0.4154948,0.489867512453589,0.510132487546411,1
2015,Denmark,0.464154,14.711824,0.0305847833991325,0.969415216600867,1
2015,EU Institutions,15.793442435,41.523854955,0.275544087983385,0.724455912016615,1
2015,Estonia,0,0.0879721,0,1,1
2015,Finland,13.885546634,38.313502594,0.266011485637399,0.733988514362601,1
2015,France,0.527526,2.37841865,0.181533395689419,0.818466604310581,1
2015,Germany,8.18602647,11.51144897,0.415587596234617,0.584412403765383,1
2015,Global Fund,0,103.1748894,0,1,1
2015,Greece,0,3.53132,0,1,1
2015,Iceland,0,0.134188,0,1,1
2015,Inter-American Development Bank,0.0237984,0.45339403,0.0498717047963229,0.950128295203677,1
2015,International Development Association,0,0,,,
2015,International Labour Organisation,0.0265023,0.07703588,0.255966446387217,0.744033553612783,1
2015,Ireland,0.76746912,0.652358,0.54053701974646,0.45946298025354,1
2015,Italy,3.228439565,5.76036371,0.359162334098362,0.640837665901638,1
2015,Japan,1.4405832,1.1703341,0.551753669103192,0.448246330896808,1
2015,Korea,0.4252,0.4894546,0.464874937490065,0.535125062509935,1
2015,Lithuania,0.0525094,0.0119196,0.814996352574151,0.185003647425849,1
2015,Netherlands,0.000860427,0.0809035,0.0105233081576427,0.989476691842357,1
2015,New Zealand,0.183904,2.31624,0.0735573630958857,0.926442636904114,1
2015,Norway,5.9105634,31.57473816,0.157676826756733,0.842323173243267,1
2015,OPEC Fund for International Development,0.151905,0.4860945,0.238095797880719,0.761904202119281,1
2015,Poland,0.3840076,0,1,0,1
2015,Portugal,0,0.0161409,0,1,1
2015,Romania,0,0.0364107,0,1,1
2015,Slovak Republic,0,0.10797183,0,1,1
2015,Slovenia,0.1886478,0.06461321,0.744875020438401,0.255124979561599,1
