NGO,DPO?
IOM - International Organisation For Migration/organizzazione Internazionale Per L Emigrazione,
IOM - International Organisation For Migration/organizzazione Internazionale Per L'emigrazione,
Ilembula Lutheran Hospital/ Palliative Care Team,
Ilêwasi,
Imperial College London,
"Initiative E, PLAST",
Inst.privata Centrul De Reabilitare A Vi Ctimelor Torturii 'memoria',
Institut Panos Caraïbes,
"Instituto Comunitario, Agua Y Saneamiento - Fondo Hondureño De Inversión Social",
Int L Organization For Migration,
Int'l Organization For Migration,
Intered Foundation.,
International Alert,
International Bank For Reconstruction And Development,
International Committee Of The Red Cross,
International Committee Of The Red Cross (ICRC),
International Federation Of Red Cross And Red Crescent Societies,
International Medical Corps,
International Medical Corps UK,
International NGO,
International Organisation For Migration,
International Organisation For Migration (IOM),
International Organization For Migration,
International Organization For Migration (IOM),
International Relief And Development,
International Rescue Committee,
Interpedia,
Iraq Red Crescent,
Ishe Anesu Multi-purpose Centre For Disabled Children,
Islamic Relief Canada,
Itaka Escolapio Foundation,
Itallian Ngo,
J-FLAG,
J.F. Kapnek Trust,
JOIN Good Forces (tidl. CRN - Christian Relief Network),
Jesuit Refugee Service,
Johns Hopkins University,
Jordanian Red Crescent,
Juan Bonal Foundation,
Juan Ciudad Foundation,
Justice Rapid Response Association,
KBC,
"KIT, HEALTH & EDUCATION / ROYAL TROPICAL INSTITUTE",
Karolinska Institutet,
Kfw,
Khalifa Bin Zayed Al Nahyan Foundation,
Kidzcan,
Kirkens Nødhjelp,
Kukua LLC,
Kulturkontakt Austria,
Kyambogo University,
LICHT FÜR DIE WELT,
LICHT FÜR DIE WELT - Christoffel Entwicklungszusammenarbeit,
LIVING PEACE INSTITUTE,
Lebanese Red Crescent,
Licht Für Die Welt,
Liikunnan Kehitysyhteistyö Liike Ry,
Lutheran World Federation,
Lääkärin Sosialinen Vastuu Ry,
MAG - Medical Action Group,
MARIE STOPES INT.,
MASHAMBANZOU CARE TRUST-SIDA,
MAYDAY RESCUE.ORG,
MEDIA LUNA ROJA ARGELINA,
MEDICUBA - Medicuba España,
MISEAN CARA,
MMI - Medicus Mundi Italia,
"MPDL - Movimiento Por La Paz, El Desarme Y La Libertad",
MUHURI - Muslims For Human Rights,
Macedonian  Croatian Society Tetovo,
Maedot,
Maharogi Sewa Samiti,
Mahsus Mahal,
Mani Tese,
Maná - Ayuda Al Desarrollo,
Medics For The World,
Medicus Mundi Association.,
Mercy Corps,
Meru Primary School,
Misean Cara,
Misión América,
Mosaic,
Mothers2mothers,
Msingi Friendship Association,
Multilateral Organisations,
Mundubat Foundation - Mundubat Fundazioa,
Médecins Du Monde Canada,
NA,
NGO,
NGO  Center Of Development Initiatives,
NGO - Non United States Redacted,
NGO - United States Redacted,
NGO Caritas Belgique Secours International,
"NGO Croix-rouge De Belgique, Communauté Francophone - Activités Internationales",
NGO Dynamo International,
NGO Estonian Refugee Council,
NGO Handicap International Belgium,
NGO Ku?a Nade,
NGO Local In Recipient Country,
NGO Mondo,
NGO Médecine Pour Le Tiers Monde - MTM  (ex Fonds De Soutien Au Tiers-monde),
NGO Médecins Du Monde - Dw/mmonde,
NGO Médecins Sans Frontières - Section Belge - MSF/AZG,
NGO RCN Justice & Démocratie,
NGO Rode Kruis-vlaanderen Internationaal,
NGO Vor Ort,
NISCVT - National Institution Of Social Care & Vocational Training,
NON-GOVERNMENTAL ORGANISATIONS (ngos) AND CIVIL SOCIETY,
NON_GOVERNMENTAL ORGANISATIONS (ngos) AND CIVIL SOCIETY,
NORWEGIAN REFUGEE COUNCIL,
NZEVE Deaf Children's Centre,
National Center For State Courts,
National Endowment For Democracy,
National University Of Ireland Galway,
Nazioarteko Elkartasuna - Solidaridad Internacional,
Ngos And Civil Society,
Nia Foundation,
Niilo Mäki-säätiö,
No Ordinary Journey Foundation,
Norges Røde Kors,
Norwegian Refugee Council (NRC),
ODHAG7/OFIC.D.DERECHOS HUM.DEL ARZ,
ONG Basée Dans Un Pays Donneur,
ONG INTERNATIONALE,
ONGD Kupu Kupu,
ORGANISATIONS NON GOUVERNEMENTALES (ONG) Et SOCIÉTÉ CIVILE,
ORGANISMO DI VOLONTARIATO PER LA COOPERAZIONE INTERNAZIONALE LA,
OTHER,
OXFAM IBIS,
"Organization For Education, Culture And Democratization (OECD) 'PLUS",
Other,
Other INGO,
Other Multilateral Institution,
Other Non-financial Corporations,
Other Public Entities In Donor Country,
Our House,
Oxfam Canada,
Oxfam-québec,
PLAN INTERNATIONAL SVERIGE,
"PLAST, Initiative E+",
PMT - Psicologi Nel Mondo Torino,
PROYECTO ACI SOLIDARIO (PROACIS),
PSI/POPULATION SERVICES INTERNATIONAL,
Pact World,
Pakistan Telecommunication Company Limited (PTCL),
Palestinian Red Crescent,
Paramahansa Yogananda Society For Special Unfolding And Moulding,
Participatory Solution NGO,
Pastoral Centre Of South Phnom Penh,
Patmos Lähetyssäätiö,
Peace Brigades International,
Peace With Dignity Association,
Peipsi Center For Transboundary Cooperation,
People In Need,
People In Need (czech Republic),
Pescanik,
Plan Finland,
Plan International Canada,
Plan International Canada Inc. (plan Canada),
Plan International Finland,
Private Sector In Provider Country,
Private Sector In Recipient Country,
Private Sector Institution,
Privatperson(en),
Pro Mente Oberösterreich,
Psychologists For Social Responsibility,
Public-private Partnership (PPP),
Pure Souls Learning Foundation,
REA – Social Adaptation And Learning Center,
RED SOLIDARIA INTERNACIONAL -ARCORES-,
REPSSI/REGIONAL PSYCHOSOCIAL SUPPORT INITIATIVE,
ROTE NASEN,
ROTE NASEN Clowndoctors Fnternational - Gemeinnützige Privatstiftung,
Rauði Kross Íslands,
Recipient Country-based NGO,
Red Cross Spain,
Redd Barna Norge,
Refugee Law Project (RLP),
Restart Center For Rehabilitation Of Victims Of Violence And Torture,
Right To Play,
Right To Play International,
"RÄDDA BARNEN, SVERIGE",
SAHARAELKARTEA - ASOCIACIÓN DE AMIGOS Y AMIGAS DE LA RASD - SEADEN LAGUNEN ELKARTEA,
SAVE THE CHILDREN,
SAVE THE CHILDREN UK,
SNAGA ZENE,
SOFEPADI - Solidarité Féminine Pour La Paix Et Le Développement Intégral,
SOS Ukraine,
Samadhan,
Samariterbund Österreich,
Satya Special School,
Save The Children,
Save The Children - Donor Country Office,
Save The Children - Local Office,
